span_id,from_tower,to_tower,lat,lng,asset_name
243,,,-7.722461,114.075485,SPAN SUTT 150kV STBDO-BWNGI #0023
244,,,-7.72245,114.07254,SPAN SUTT 150kV STBDO-BWNGI #0022
245,,,-7.722442,114.06946,SPAN SUTT 150kV STBDO-BWNGI #0021
246,,,-7.722425,114.06694,SPAN SUTT 150kV STBDO-BWNGI #0020
247,,,-7.721894,114.06469,SPAN SUTT 150kV STBDO-BWNGI #0019
248,,,-7.720827,114.06206,SPAN SUTT 150kV STBDO-BWNGI #0018
249,,,-7.71979,114.05946,SPAN SUTT 150kV STBDO-BWNGI #0017
250,,,-7.718955,114.05737,SPAN SUTT 150kV STBDO-BWNGI #0016
251,,,-7.718182,114.05544,SPAN SUTT 150kV STBDO-BWNGI #0015
252,,,-7.716983,114.05246,SPAN SUTT 150kV STBDO-BWNGI #0014
253,,,-7.71575,114.04943,SPAN SUTT 150kV STBDO-BWNGI #0013
254,,,-7.714858,114.04728,SPAN SUTT 150kV STBDO-BWNGI #0012
255,,,-7.713975,114.04512,SPAN SUTT 150kV STBDO-BWNGI #0011
256,,,-7.71295,114.042595,SPAN SUTT 150kV STBDO-BWNGI #0010
257,,,-7.711875,114.03997,SPAN SUTT 150kV STBDO-BWNGI #0009
258,,,-7.711358,114.037056,SPAN SUTT 150kV STBDO-BWNGI #0008
259,,,-7.711358,114.033905,SPAN SUTT 150kV STBDO-BWNGI #0007
260,,,-7.711367,114.03072,SPAN SUTT 150kV STBDO-BWNGI #0006
261,,,-7.711384,114.0278,SPAN SUTT 150kV STBDO-BWNGI #0005
262,,,-7.712343,114.02515,SPAN SUTT 150kV STBDO-BWNGI #0004
263,,,-7.713859,114.02294,SPAN SUTT 150kV STBDO-BWNGI #0003
264,,,-7.71542,114.020706,SPAN SUTT 150kV STBDO-BWNGI #0002
265,,,-7.716746,114.01863,SPAN SUTT 150kV STBDO-BWNGI #0001
266,280,2,-8.184367,114.353905,"SPAN SUTT 150kV STB-BWI/GLNK3,4 #280/2"
267,279,3,-8.181342,114.35268,"SPAN SUTT 150kV STB-BWI/GLNK3,4 #279/3"
268,278,4,-8.178167,114.35138,"SPAN SUTT 150kV STB-BWI/GLNK3,4 #278/4"
269,277,5,-8.17545,114.351166,"SPAN SUTT 150kV STB-BWI/GLNK3,4 #277/5"
270,276,6,-8.172975,114.35195,"SPAN SUTT 150kV STB-BWI/GLNK3,4 #276/6"
271,275,7,-8.170467,114.35273,"SPAN SUTT 150kV STB-BWI/GLNK3,4 #275/7"
272,274,8,-8.168008,114.35349,"SPAN SUTT 150kV STB-BWI/GLNK3,4 #274/8"
273,273,9,-8.165642,114.354225,"SPAN SUTT 150kV STB-BWI/GLNK3,4 #273/9"
274,272,10,-8.163625,114.35605,"SPAN SUTT 150kV STB-BWI/GLNK3,4 #272/10"
275,271,11,-8.161992,114.35881,"SPAN SUTT 150kV STB-BWI/GLNK3,4 #271/11"
276,270,12,-8.160475,114.36135,"SPAN SUTT 150kV STB-BWI/GLNK3,4 #270/12"
277,269,13,-8.1591,114.36368,"SPAN SUTT 150kV STB-BWI/GLNK3,4 #269/13"
278,268,14,-8.157867,114.365776,"SPAN SUTT 150kV STB-BWI/GLNK3,4 #268/14"
279,267,15,-8.15655,114.36801,"SPAN SUTT 150kV STB-BWI/GLNK3,4 #267/15"
280,266,16,-8.155183,114.370316,"SPAN SUTT 150kV STB-BWI/GLNK3,4 #266/16"
281,265,17,-8.153933,114.372406,"SPAN SUTT 150kV STB-BWI/GLNK3,4 #265/17"
282,264,18,-8.15305,114.374825,"SPAN SUTT 150kV STB-BWI/GLNK3,4 #264/18"
