tower_id,lat,lng,asset_name
229,-8.065417,114.41472,TOWER SUTT 150kV STBDO-BWNGI #0229
230,-8.067167,114.41423,TOWER SUTT 150kV STBDO-BWNGI #0230
231,-8.069917,114.41357,TOWER SUTT 150kV STBDO-BWNGI #0231
232,-8.073517,114.412636,TOWER SUTT 150kV STBDO-BWNGI #0232
233,-8.077333,114.41165,TOWER SUTT 150kV STBDO-BWNGI #0233
234,-8.080617,114.4108,TOWER SUTT 150kV STBDO-BWNGI #0234
235,-8.08425,114.4099,TOWER SUTT 150kV STBDO-BWNGI #0235
236,-8.08605,114.40942,TOWER SUTT 150kV STBDO-BWNGI #0236
237,-8.087683,114.40895,TOWER SUTT 150kV STBDO-BWNGI #0237
238,-8.09095,114.408066,TOWER SUTT 150kV STBDO-BWNGI #0238
239,-8.095783,114.40722,TOWER SUTT 150kV STBDO-BWNGI #0239
240,-8.101233,114.40587,TOWER SUTT 150kV STBDO-BWNGI #0240
241,-8.102317,114.40563,TOWER SUTT 150kV STBDO-BWNGI #0241
242,-8.104683,114.40497,TOWER SUTT 150kV STBDO-BWNGI #0242
243,-8.106833,114.40345,TOWER SUTT 150kV STBDO-BWNGI #0243
244,-8.110183,114.401,TOWER SUTT 150kV STBDO-BWNGI #0244
245,-8.1119,114.39982,TOWER SUTT 150kV STBDO-BWNGI #0245
246,-8.1142,114.39833,TOWER SUTT 150kV STBDO-BWNGI #0246
247,-8.115967,114.397385,TOWER SUTT 150kV STBDO-BWNGI #0247
248,-8.117867,114.3965,TOWER SUTT 150kV STBDO-BWNGI #0248
249,-8.11995,114.39547,TOWER SUTT 150kV STBDO-BWNGI #0249
250,-8.122733,114.394135,TOWER SUTT 150kV STBDO-BWNGI #0250
251,-8.1254,114.39363,TOWER SUTT 150kV STBDO-BWNGI #0251
252,-8.1286,114.3929,TOWER SUTT 150kV STBDO-BWNGI #0252
253,-8.13135,114.39238,TOWER SUTT 150kV STBDO-BWNGI #0253
254,-8.13425,114.39173,TOWER SUTT 150kV STBDO-BWNGI #0254
255,-8.137017,114.3907,TOWER SUTT 150kV STBDO-BWNGI #0255
256,-8.139483,114.38975,TOWER SUTT 150kV STBDO-BWNGI #0256
257,-8.1422,114.38875,TOWER SUTT 150kV STBDO-BWNGI #0257
258,-8.144983,114.38772,TOWER SUTT 150kV STBDO-BWNGI #0258
259,-8.147967,114.38662,TOWER SUTT 150kV STBDO-BWNGI #0259
260,-8.150867,114.38558,TOWER SUTT 150kV STBDO-BWNGI #0260
261,-8.1515,114.38245,TOWER SUTT 150kV STBDO-BWNGI #0261
262,-8.152167,114.37925,TOWER SUTT 150kV STBDO-BWNGI #0262
263,-8.152767,114.37625,TOWER SUTT 150kV STBDO-BWNGI #0263
264,-8.153333,114.3734,"TOWER SUTT 150kV STB-BWI/GLNK3,4 #264/18"
265,-8.154533,114.371414,"TOWER SUTT 150kV STB-BWI/GLNK3,4 #265/17"
266,-8.155833,114.36922,"TOWER SUTT 150kV STB-BWI/GLNK3,4 #266/16"
267,-8.157267,114.3668,"TOWER SUTT 150kV STB-BWI/GLNK3,4 #267/15"
268,-8.158467,114.36475,"TOWER SUTT 150kV STB-BWI/GLNK3,4 #268/14"
269,-8.159733,114.3626,"TOWER SUTT 150kV STB-BWI/GLNK3,4 #269/13"
270,-8.161217,114.3601,"TOWER SUTT 150kV STB-BWI/GLNK3,4 #270/12"
271,-8.162767,114.35751,"TOWER SUTT 150kV STB-BWI/GLNK3,4 #271/11"
272,-8.164483,114.35458,"TOWER SUTT 150kV STB-BWI/GLNK3,4 #272/10"
273,-8.1668,114.35387,"TOWER SUTT 150kV STB-BWI/GLNK3,4 #273/9"
274,-8.169217,114.35312,"TOWER SUTT 150kV STB-BWI/GLNK3,4 #274/8"
275,-8.171717,114.35235,"TOWER SUTT 150kV STB-BWI/GLNK3,4 #275/7"
276,-8.174233,114.35155,"TOWER SUTT 150kV STB-BWI/GLNK3,4 #276/6"
277,-8.176667,114.350784,"TOWER SUTT 150kV STB-BWI/GLNK3,4 #277/5"
278,-8.179667,114.35198,"TOWER SUTT 150kV STB-BWI/GLNK3,4 #278/4"
279,-8.183017,114.35337,"TOWER SUTT 150kV STB-BWI/GLNK3,4 #279/3"
280,-8.185717,114.35445,"TOWER SUTT 150kV STB-BWI/GLNK3,4 #280/2"
281,-8.188365,114.35488,TOWER SUTT 150kV STBDO-BWNGI #0281
