tower_id,gfd_ElNino,gfd_LaNina,gfd_Neutral,dGFD_dENSO,units,lat,lng,elev_m
193,6.4,6.72,7.04,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.97145,114.391914,55.0
194,6.72,7.84,7.36,-0.56,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.97405,114.39252,55.0
195,7.36,7.68,7.36,-0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.976283,114.39305,57.0
196,6.72,7.36,7.04,-0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.978817,114.39365,55.0
197,7.04,7.2,7.36,-0.08000000000000007,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.981317,114.3942,52.0
198,7.04,6.72,7.04,0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.983683,114.39477,51.0
199,6.72,7.36,6.72,-0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.98615,114.39535,48.0
200,6.72,7.36,7.68,-0.3200000000000003,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.988567,114.3959,45.0
201,7.68,7.04,7.36,0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.9912,114.3965,41.0
202,8.0,8.32,8.0,-0.16000000000000014,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.994233,114.3972,47.0
203,7.68,7.68,8.0,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.996583,114.39775,46.0
204,7.68,7.68,8.32,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-7.9989,114.39827,43.0
205,7.36,7.52,7.36,-0.07999999999999963,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.001117,114.3993,44.0
206,7.04,7.68,7.04,-0.31999999999999984,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.003917,114.40058,44.0
207,6.72,7.68,7.36,-0.48,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.006683,114.401886,41.0
208,6.72,6.72,6.72,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.009033,114.403,41.0
209,6.08,7.04,6.4,-0.48,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.011133,114.40393,35.0
210,6.24,7.04,6.72,-0.3999999999999999,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.013483,114.40503,28.0
211,7.04,7.04,7.36,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.015817,114.40607,31.0
212,7.36,7.36,7.36,0.0,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.0187,114.407265,35.0
213,7.68,7.36,7.36,0.1599999999999997,flashes/km^2/yr per unit Niño 3.4 (year 2028),-8.0217,114.40863,32.0
